,0,1,accuracy,macro avg,weighted avg
precision,0.998093058733791,0.9996272702629438,0.999225,0.9988601644983675,0.9992253451975939
recall,0.9989502815154118,0.9993225161749263,0.999225,0.999136398845169,0.999225
f1-score,0.9985214861448943,0.9994748699879729,0.999225,0.9989981780664337,0.9992251072556825
support,10479.0,29521.0,0.999225,40000.0,40000.0
