,0,1,accuracy,macro avg,weighted avg
precision,0.9965570007651109,0.9989168697535878,0.9983,0.9977369352593494,0.9983002359868988
recall,0.9969383849980865,0.9987816434276432,0.9983,0.9978600142128649,0.9983
f1-score,0.9967476563994643,0.998849252013809,0.9983,0.9977984542066367,0.9983001050797807
support,2613.0,7387.0,0.9983,10000.0,10000.0
