,0,1,accuracy,macro avg,weighted avg
precision,0.9977086118006492,0.9996613154507892,0.99915,0.9986849636257191,0.9991506834462777
recall,0.9990439770554493,0.9991875423155044,0.99915,0.999115759685477,0.99915
f1-score,0.998375847902933,0.9994243727355839,0.99915,0.9989001103192585,0.9991501834918457
support,5230.0,14770.0,0.99915,20000.0,20000.0
