feature,importance
"categorical__text_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0.000263136725642802
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.0002492709208036593
numeric__size_of_header,0.0002236653553223717
numeric__init_sp_value,0.00021789800686066477
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.00021138108842788723
"categorical__text_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",0.00021048664393285373
categorical__magic_number_0,0.00020533413834377865
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",0.00019907733744866244
numeric__oem_identifier,0.000166209096916673
categorical__text_Characteristics_0,0.0001320775143394301
numeric__init_ip_value,0.0001307538979999204
"categorical__rdata_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.00011625392355618323
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.00011535515729082019
numeric__SizeofHeapCommit,0.0001145407733172439
categorical__Magic_0,0.00010806942289804826
"categorical__rdata_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_2BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_512BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.00010735546272359444
numeric__max_extra_paragraphs,9.779790169019182e-05
numeric__relocations,9.02716936622134e-05
categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE'],8.478910179436324e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT']",7.830581294689198e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",7.572708888615889e-05
"categorical__text_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",7.462712471236141e-05
numeric__init_ss_value,7.20724965870893e-05
"categorical__text_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",7.073884161563436e-05
"categorical__text_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",6.87469491065619e-05
categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NX_COMPAT'],6.77347198255316e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NO_ISOLATION', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",6.131805213529157e-05
categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NO_SEH'],5.8186231390405515e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",5.419627672075009e-05
numeric__text_PointerToRelocations,5.321002347973653e-05
"categorical__rdata_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_2BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_512BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",4.732706153929933e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",4.5046176216298994e-05
"categorical__text_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",4.418647937034057e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT']",4.046450602332258e-05
numeric__text_PointerToLineNumbers,3.9415483279870144e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT']",3.9382661036382916e-05
numeric__init_cs_value,3.785063044723846e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",3.7325397011165993e-05
"categorical__text_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",3.711623996325178e-05
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",3.548476255478667e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",3.140574937691752e-05
"categorical__text_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_2BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_512BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",2.511207392986481e-05
"categorical__text_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",2.1952605078008127e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA']",1.774374743482385e-05
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",1.3064885146726549e-05
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_ISOLATION', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",9.567937522245196e-06
categorical__rdata_Characteristics_['IMAGE_SCN_MEM_READ'],7.854658639015709e-06
